petition_id,title,similarity_score
704793,Legally enshrine the right of adults to physically transition using NHS services,0.2204
710486,Ban new waste incinerators and revoke permits where building has not begun,0.2098
705772,Impose a lifetime ban on animal ownership for anyone convicted of animal cruelty,0.2694
700161,Require MPs proven to mislead public to resign and create 'fact check' committee,0.2305
716515,Remove CWS Bill clauses and provide tangible support to home educating parents,0.473
700041,Hold a referendum on re-joining the European Union,0.2318
701850,Require parliamentary scrutiny of any proposal to amend the Royal Mail USO,0.4013
718406,Shut the migrant hotels down now and deport illegal migrants housed there,0.2974
716157,Make the Tour de France a Category A event so it is free-to-air,0.3469
716686,Recognise the production and serving of cask ale as Intangible Cultural Heritage,0.6769
715292,Raise statutory maternity/paternity pay to match the National Living Wage,0.2699
717065,End the Injustice: Grant British Nationals (Overseas) Full UK Citizenship,0.2086
700029,"Embed food, farming, and sustainability education into the national curriculum",0.3331
721547,Protect Disabled people who cannot work from planned cuts to benefits,0.3208
702424,Enact measures to combat knife crime,0.3046
