petition_id,title,text,signature_count,response_text,status,date
704793,Legally enshrine the right of adults to physically transition using NHS services,"Introduce a law to legally protect the right of those aged 18 and over to transition using NHS services. This should specifically cover physical transition, including hormone treatment and surgery, as otherwise I believe it could potentially be interpreted as including conversion therapy.",76671,"The government is committed to ensuring that all patients, including trans adults, get care that is high-quality and clinically appropriate. The published NHS Constitution establishes the principles and values of the NHS in England. It sets out legal rights to which patients, the public and staff are entitled. This includes the legal right to access NHS services and the right to receive care and treatment that is appropriate, meets patient needs and reflecting their preferences.

Regarding services for trans adults specifically, they can access care at 12 specialist NHS adult Gender Dysphoria clinics in England.

NHS adult gender services work to national service specifications: Gender Identity Services for Adults (Non-Surgical Interventions) and Gender Identity Services for Adults (Surgical Interventions).

As set out in those service specifications, the delivery model for adult gender services relies on access via primary care, and the principle of multidisciplinary and interdisciplinary teams and networks who work and collaborate in the provision of care. Gender Dysphoria Clinics assess and diagnose individuals, directly provide some interventions and arrange for referrals to other services, including for medical and surgical treatments. Access to surgical intervention is only by referral from a specialist Gender Dysphoria Clinic that is commissioned by NHS England, in accordance with the criteria set out in the Surgical Interventions service specification.

These services, like all NHS services, are patient centred. Decisions around the treatment and management of gender incongruence are made through a process of Shared Decision Making. As set out in the service specifications, patients will be provided with the necessary information about all of the options available to them so that they may ask questions, explore the options available and take an active role in determining a treatment route which best suits their needs and preferences, and is clinically appropriate. For some, this may involve a process of medical transition – for others, it may not.

Introducing legislation that creates a right to medically transition may fundamentally alter the careful balance of clinical decision-making in the care of trans adults. It is not appropriate – nor is it necessary – and the government has no plans to do so.

The government recognises that waiting times for these services have surged and we are determined to change that. NHS England has significantly increased investment in adult gender services, with the rollout of five new adult gender pilot clinics since July 2020. Three pilots have been awarded longer term contracts with NHS England and their evaluation reports can be found at the following link: https://www.whatdotheyknow.com/request/pilot_gender_clinic_evaluation_r

In line with a recommendation of the Independent Review of gender identity services for children and young people (the Cass Review), NHS England is currently carrying out a review of adult gender services, with the aim of producing an updated service specification (non-surgical). The Review, which is chaired by Dr David Levy, will examine the model of care and operating procedures of each service, and will carefully consider experiences, feedback and outcomes from clinicians and patients. The Terms of Reference of the Review can be found at the following link: https://www.england.nhs.uk/publication/review-of-the-nhs-adult-gender-dysphoria-clinics-in-england-terms-of-reference-and-key-lines-of-enquiry/

The government is steadfast in its dedication to listening to LGBT+ people. The Secretary of State for Health and Social Care has taken steps to build bridges with the LGBT+ community and stakeholders by hosting constructive, open and honest roundtable discussions, and has set out his intention to maintain an open dialogue and to continue to listen to all views.

In addition to what has been described above, we continue to progress work to advance the rights and protections afforded to LGBT+ people. We are clear that conversion practices are abuse – such practices have no place in society and must be stopped. That is why, through the development of our Conversion Practices Bill, the government will deliver on its manifesto commitment to bring forward a full, trans-inclusive ban on conversion practices. We are also working with the Home Office to deliver our commitment to equalise all existing strands of hate crime to make them aggravated offences.

Any ban must not cover legitimate psychological support, treatment, or non-directive counselling. It must also respect the important role that teachers, religious leaders, parents and carers can have in supporting those exploring their sexual orientation or gender identity.

Department of Health and Social Care",Responded,2024-11-26T12:55:38.077Z
710486,Ban new waste incinerators and revoke permits where building has not begun,"Introduce a moratorium on new waste incinerators like in Scotland and Wales, and ban new permits and require existing permits to be revoked where substantial construction has not begun.",13307,"On 30 December 2024, Defra published the Residual Waste Infrastructure Capacity Note (https://www.gov.uk/government/publications/residual-waste-infrastructure-capacity-note/residual-waste-infrastructure-capacity-note) and an accompanying statement (https://www.gov.uk/government/news/government-to-crack-down-on-waste-incinerators-with-stricter-standards-for-new-builds), which set out that government will only back new waste incineration projects in England that meet strict new conditions. Proposals for new facilities will have to maximise efficiency and support the delivery of economic growth, net zero and the move to a circular economy.

The Government encourages those developing waste incineration facilities (at all stages in the process) to consider forecast changes to future capacity, demand, and the Government’s circular economy opportunities, in light of the evidence published in the Capacity Note.

The Capacity Note, and the latest Local Authority Collected Waste statistics (https://www.gov.uk/government/statistics/local-authority-collected-waste-management-annual-results/local-authority-collected-waste-management-provisional-annual-results-202324), show that there are areas in England where large amounts of non-recyclable household waste is sent to landfill, which has a greater negative environmental impact. There is a continued need to divert non-household wastes away from landfill. In this context, waste incineration plays an important role in diverting residual waste from landfill; but it should not compete with efforts to increase waste prevention, preparation for re-use, or recycling.

Waste incineration facilities require planning permission and an environmental permit to operate. These processes are separate but complementary. The planning system controls the development and use of land in the public interest. Planning guidance is clear that decisions must give consideration to important issues, including air quality, transport, and whether a location is appropriate for that development. The environmental permitting process considers the safe operation of a facility itself, not whether the location is suitable, or whether there is a waste management need for the specific type of facility.

It is important that we do not retrospectively impose modifications on, or revoke, a planning consent or environmental permit that has already been granted. To do so would undermine confidence in England’s regulatory systems and harm the investment we need to deliver economic growth.

Waste incineration facilities that hold the necessary permissions will only be constructed if there is an established waste management need. If a development cannot secure a long-term contract, it is highly unlikely that it will receive financing and proceed to construction. Defra has no evidence of waste facilities being constructed without the security of waste supply contracts.

The best way to reduce the need for waste incineration is to reduce the amount of non-recyclable waste we produce. It is therefore essential that we move away from our linear and unsustainable “take, make, throw” model. In light of this, the Secretary of State for Environment, Food and Rural Affairs has set our transition to a circular economy as one of Defra’s top priorities, delivering on the Government’s manifesto commitment. An expert Circular Economy Taskforce is supporting the Government to develop a Circular Economy Strategy that will focus on promoting efficient and productive resource use, supporting economic growth, delivering green jobs, minimising negative environmental impacts and accelerating the nation to Net Zero.

The Government has already taken action to improve levels of recycling. As of the 1 April 2025, Simpler Recycling obligations for workplaces came into force. This means that the same set of materials – paper, card, plastic, glass, metals and food waste – must now be collected from every business and relevant non-domestic premises. This requirement, along with garden waste, will apply to every household in England by 31 March 2026, with kerbside collections of plastic films introduced by 31 March 2027.

The Government has made progress with delivering Extended Producer Responsibility for packaging, which will begin later this year. This will incentivise packaging producers to reduce their material footprint and use more recyclable packaging.

The Government is also bringing forward the delivery of a Deposit Return Scheme for drinks containers, taking our recycling rate to 90 percent for these containers by its third year of operating. This model exists in over 50 countries around the world to proven success, and it will launch in October 2027. Together our packaging reforms will lead to 21,000 new green jobs and support more than £10billion of investment in recycling capability over the next decade.

The Government’s approach will reduce waste to landfill and boost the economy, while ensuring the waste incineration facilities that we do need maximise benefits to communities. This will help us deliver on our Plan for Change in a decade of national renewal. This is no small task - but by working collaboratively we will make this shift to keep our resources in use for longer, reduce our carbon emissions, encourage investment in critical infrastructure and green jobs across the UK.

Department for Environment, Food and Rural Affairs",Responded,2024-12-18T10:48:57.404Z
705772,Impose a lifetime ban on animal ownership for anyone convicted of animal cruelty,"The government should impose a lifetime ban on animal ownership for anyone who causes deliberate suffering to animals. Under current laws, courts can impose bans but these may be short-term, allowing offenders to own animals again after a short period.",12759,"The needless suffering of animals is always a concern, whether that suffering is deliberately inflicted, accidental, or the result of negligence. The Animal Welfare Act 2006 provides strong powers to address such cruelty, ensuring appropriate measures are in place to protect animal welfare.

Causing an animal to experience unnecessary suffering is an offence under section 4 of the Animal Welfare Act 2006. Following a conviction, the court may also ban the offender from keeping animals or certain types or animals and/or order that their animals are removed from them. The court will decide how long an offender is banned for and the minimum period that must elapse before the offender can seek the termination of any order. 

Sentencing in individual cases is a matter for our independent courts. When deciding what sentence to impose, courts must consider the circumstances of the case, including the culpability of the offender, the harm they caused or intended to cause, and any aggravating and mitigating factors. The courts also have a statutory duty to follow any relevant sentencing guidelines, developed by the independent Sentencing Council for England and Wales. Sentencing Council guidance on Animal Deprivation and Animal Disqualification orders can be found here: https://www.sentencingcouncil.org.uk/explanatory-material/magistrates-court/item/ancillary-orders/1-introduction-to-ancillary-orders/. 

In September 2024, the Sentencing Council consulted on proposals to improve the consistency, accessibility and presentation of the current information on Ancillary Orders. The Council are currently considering responses to this consultation.

Furthermore, the 2006 Act is backed up by codes of practice for the welfare of certain animals (including dogs, cats and horses): https://www.gov.uk/guidance/animal-welfare-legislation-protecting-pets#codes-of-practice. 
These codes of practice provide owners with information on how to meet the welfare needs of their animals, as required by the 2006 Act. Breach of a provision of these codes is not an offence itself but if proceedings are brought against someone for an offence under the 2006 Act, the Court will look at whether or not they have complied with the relevant code in deciding whether they have committed an offence.  

The Police National Computer holds all relevant information for prosecutions made for animal cruelty offences and Animal Disqualification orders under the Animal Welfare Act 2006. Certain organisations have access to this information, where appropriate, to fulfil their public function. This allows this information to be protected from misuse, but also for it to be available for organisations with a justified need to access it.  

Department for Environment, Food and Rural Affairs",Responded,2024-11-27T22:52:22.416Z
700161,Require MPs proven to mislead public to resign and create 'fact check' committee,We think that MPs who mislead the public should be held accountable and required to step down. We also want the Government to set up an independent 'fact check' committee. We feel that we need to restore honour and integrity into politics. ,10205,"Honesty is one of the Seven Principles of Public Life (https://www.gov.uk/government/publications/the-7-principles-of-public-life/the-7-principles-of-public-life--2). These principles inform and inspire the House of Commons Code of Conduct (https://www.parliament.uk/business/publications/commons/hoc-code-of-conduct/), to which all MPs must adhere. 

The Government believes that MPs have a responsibility to provide accurate information to the public and to Parliament. However, it would not be appropriate to establish a fact-checking committee that would have the authority to determine the accuracy of an MP's language. 

The House of Commons, which is made up of elected representatives, is responsible for regulating the conduct of MPs, and it is here that the responsibility should remain. Additionally, individual MPs are directly accountable to their constituents, who determine who should represent them at each general election. Any decision to resign is a matter for individual MPs. 

Within the House of Commons itself, the language MPs use is protected by parliamentary privilege (https://www.parliament.uk/site-information/glossary/parliamentary-privilege/). This ensures that MPs, who are the voice of their constituents in Parliament, are able to speak freely without fear of legal proceedings being brought against them. It is right that MPs' speech in the House is protected in this way: it ensures that debate remains free and robust. 

Nevertheless, as demonstrated in recent years, there are mechanisms available to the House to sanction MPs for any false statements made. In some cases, where an MP may have misled the House, the House can ask the Committee of Privileges (https://committees.parliament.uk/committee/289/committee-of-privileges/) to investigate and recommend an appropriate sanction.

If, following a report of the Committee of Privileges, the House suspends an MP for at least 10 sitting days or 14 calendar days, this triggers the recall process under the Recall of MPs Act 2015, allowing the MP’s constituents to decide whether a by-election should take place.

In addition, if MPs provide incorrect information to Parliament, they are expected to correct the record of parliamentary proceedings (Hansard). MPs can do so by making a ""point of order"" in the Chamber or by submitting a written correction, a procedure used 18 times (https://www.parliament.uk/mps-lords-and-offices/offices/commons/hansard/hansard-corrections/) in the 2023-24 session of Parliament.

Finally, MPs who are ministers must follow the Ministerial Code (https://www.gov.uk/government/publications/ministerial-code), which states that ""[i]t is of paramount importance that ministers give accurate and truthful information to Parliament, correcting any inadvertent error at the earliest opportunity."" The Code adds that ""[m]inisters who knowingly mislead Parliament will be expected to offer their resignation to the Prime Minister.""

Office of the Leader of the House of Commons",Responded,2024-10-31T12:23:41.548Z
716515,Remove CWS Bill clauses and provide tangible support to home educating parents,"We urge the Government to remove the provisions of the Children's Wellbeing and Schools Bill on ""children not in school"", conduct proper independent research into the outcomes of home educated children and provide tangible support for home educating families including:",23440,"The Children Not in School measures in the Children’s Wellbeing and Schools Bill are central to the government’s ambition to ensure that all children can achieve and thrive – whether they are educated at school or otherwise.

Section 7 of the Education Act 1996 is clear that parents have a responsibility to secure an efficient, full-time, suitable education for their children, and can choose to do this by sending them to school or otherwise – for example, by home educating them. Local authorities also have existing legal duties to identify children in their areas who are not in school and not receiving a suitable education. This Bill does not change this.

The Department has undertaken extensive consultation and engagement to bring us to taking forward the Children Not in School measures in the Bill. The 2018 call for evidence on home education highlighted that local authorities could not be certain that they know of all children not in school in their areas as parents are not required to notify them. The 2019 consultation on Children Not in School, 96% of local authorities agreed that a compulsory system of registration was needed to help them fulfil their existing education and safeguarding duties towards these children. Several reports and briefing papers from the Child Safeguarding Practice Review Panel highlight that, while the majority of home educated children are safe and thriving, there are some that have experienced serious harm or even death. This, coupled with Department data which shows that numbers in home education have more than doubled since 2019, means that the evidence for action is clear.

The Children Not in School measures in the Bill are intended to support local authorities to carry out these existing duties and, where necessary, to support children into safe, suitable education. The information provided by parents for Children Not in School registers will help local authorities to identify all children not in school in their areas and gain a fuller picture of these children’s educational needs and circumstances. Not only will this enable local authorities to better support individual children, but information on the registers could also be used to better understand outcomes for home educated children at a national level.

The Bill also introduces the first ever duty on local authorities to provide support specifically for home educating families in the form of advice and information. This duty will establish a reliable, baseline level of support across all English and Welsh local authorities for home educating families who choose to access it. Under this duty, we would expect local authorities to provide information on access to public examinations for home educated children if their parents requested it. Local authorities will still have discretion to provide higher levels of support to home educating families. 

Where families do not agree with local authority decisions on support or other matters, there are several routes of complaint available. For example, where a parent believes a local authority has not acted according to law and guidance, they should contact their local authority’s complaints department. If not resolved by the local authority they can contact the Local Government and Social Care Ombudsman, who will make a decision on the complaint. The Department can also take action should a local authority fail to discharge a duty imposed on them or is unreasonable in exercising a duty.   

Through the Bill, we are also establishing a new complaint route in relation to the requirement for some parents to seek local authority consent before they can withdraw their child from school for home education. Any parent of a child on a child protection plan, who is the subject of a section 47 child protection enquiry, or at a special school under arrangement by the local authority, and who disagrees with the decision of the local authority as to whether to grant consent for the child to be home educated can request a review of the decision by the Secretary of State. We believe these complaint routes for parents are sufficient.

It is important that the Department for Education hears the views of all key stakeholders and factor their expertise into the delivery of the Children Not in School proposals, which includes the development of regulations and statutory guidance. That is why we have established stakeholder implementation forums to enable us to engage with a wide group of stakeholders at appropriate intervals during the progress of the Bill and subsequently. This includes a group of currently home educating families, organisations that represent the home education community, and local authorities.

Department for Education",Responded,2025-02-02T15:44:58.185Z
700041,Hold a referendum on re-joining the European Union,I want the government to hold a referendum on whether the UK should Rejoin the European Union.,16594,"Since taking office, this Government has been working to strengthen the relationship with our European friends. A closer, more cooperative relationship with the EU is in the UK’s national interest. It will grow the economy, boost living standards, protect our borders and keep the UK safe.

This is about turning the page – reinvigorating alliances and forging new partnerships with our European friends, rather than reopening the divisions of the past. A stronger UK-EU relationship means a stronger Europe.

The Withdrawal Agreement, including the Windsor Framework, and the Trade and Cooperation Agreement underpin relations between the EU and the UK. We are committed to the full and faithful implementation of these agreements, however we believe we can go further to strengthen that relationship. 

In particular, we want to work closely with the EU to address wider global challenges including economic headwinds, geopolitical competition, irregular migration, climate change, energy prices, and of course the security of our citizens, which pose fundamental challenges to the shared values of the UK and EU and provide the strategic driver for stronger cooperation. 

The manifesto upon which this Government was elected set out that we would seek to remove barriers to trade with the EU. Our markets are highly interconnected, so close cooperation can support growth and deliver investment. The Minister for European Union Relations is taking forward discussions on these areas with his counterpart Commissioner Maroš Šefčovič.

The UK will welcome EU leaders to the UK for the first UK-EU Leaders’ Summit on 19 May. This will provide an opportunity to make further progress on areas which will deliver tangible benefits for the people of the UK.

There will be issues which are difficult to resolve, as well as areas on which we will stand firm. We have been clear we are not going back to the arguments of the past; we will not return to freedom of movement, the Customs Union or the Single Market. Although we voted to leave the EU, our role as key allies and trading partners remains, and this Government is ambitious, has clear priorities and wants to move forward.

Cabinet Office",Responded,2024-10-30T16:38:34.011Z
701850,Require parliamentary scrutiny of any proposal to amend the Royal Mail USO,We call on the Government to amend legislation to require parliamentary scrutiny on any change to the Royal Mail's Universal Service Obligation (USO).,21415,"The government is committed to the provision of a reliable and affordable universal postal service. A postal service that works for customers, workers and communities is crucial to the UK businesses that help drive growth across the country.

Ofcom formally launched a consultation on the future of the UK’s postal services in January 2025, highlighting a significant decline in letter volumes and that users’ needs had changed. Ofcom set out that they have considered extensive evidence that the universal service obligation must change to secure its long-term future. Since January, Ofcom has consulted publicly on a package of potential reforms to the requirements for the delivery of second-class letters, to better reflect users’ preferences and support financial sustainability.  The consultation closed on 10 April and Ofcom expects to publish a Statement in the summer. Further information is available on Ofcom’s website: www.ofcom.org.uk/post/royal-mail/consultation-review-of-the-universal-postal-service-and-other-postal-regulation/.

Ofcom is required by Parliament (under the Postal Services Act 2011) to ensure the provision of the universal postal service and is permitted to make limited changes to its regulation accordingly. The changes that Ofcom has proposed in its consultation would not require parliamentary approval.  However, more significant reforms, such as changes to the minimum requirements set out in the Postal Services Act 2011, which include a six-days-a-week postal service at affordable prices, would need to be approved by Parliament. Ofcom remains accountable to Parliament through mechanisms such as select committee evidence sessions and its statutory obligation to lay its Annual Report and Accounts in parliament.

The government is clear that Royal Mail’s quality of service has not been good enough. Ofcom, as the independent regulator for the postal sector, has set Royal Mail enforceable targets each year to deliver 93% of First-Class letters next-day and 98.5% of Second-Class letters within three days. Ofcom takes compliance with its regulatory targets seriously and this involves conducting thorough investigations where failures have been identified. In December 2024, following its investigation of Royal Mail’s performance in the 2023-24 financial year, Ofcom fined the company £10.5m because of its failure to meet service levels. In January, Justin Madders, the minister with policy responsibility for postal services, met representatives of Ofcom who gave their reassurance that they are closely monitoring Royal Mail’s performance. The government expects that Ofcom will continue to closely monitor Royal Mail’s performance and regularly press it on this issue to improve service levels as a matter of urgency.

With regards to stamp prices, as an independent business, it is for Royal Mail’s management to set the prices for its services. The government does not have a role in the company’s day-to-day commercial or operational decisions.  In setting its prices however, Royal Mail must work within the regulatory framework set by Ofcom, the independent regulator.  In 2024, Ofcom reviewed its position on safeguard caps on certain 2nd class products and amended the cap accordingly. The purpose of the safeguard caps is to ensure an affordable service is available for all users. We are grateful for the widespread public interest in the postal service. The government recognises that the essential service provided by Royal Mail, and underpinned by its universal service obligation, is a vital part of the UK’s communications fabric. Customers, businesses and communities across the UK depend on a reliable and affordable postal service and the government remains committed to ensuring Royal Mail is able to effectively deliver for those users.

Department for Business and Trade
",Responded,2024-11-15T07:25:06.245Z
718406,Shut the migrant hotels down now and deport illegal migrants housed there,"The Labour Party pledged to end asylum hotels if it won power. Labour is now in power.
",46682,"The Home Office has a statutory obligation to support asylum seekers who would otherwise be left destitute on our streets.

Before an individual can apply for that support, they are required to provide information about their personal circumstances which includes declaring all income, assets, and other forms of support available to them. Entitlement to support is kept under review, and failed asylum seekers are expected to leave the UK. 

Because of the historically high number of individuals claiming asylum in the UK in recent years, there have been shortages in available asylum accommodation, and that required the previous government to start taking over hotels for that purpose.
 
At their peak, in Autumn 2023, more than 400 hotels were in use as asylum accommodation, at a cost of almost £9 million per day. That situation was also exacerbated towards the end of the last government when asylum decision-making fell into steep decline, and the asylum backlog rose accordingly.

As a result, the new Government inherited an asylum system under unprecedented strain, and due to the size of the backlog that has to be cleared, we have been forced to continue with the use of hotels for the time being, although it should be noted that the number in use now is lower than it was before the election and is around half the peak level that was reached in 2023.

However, this Government is absolutely clear that hotel use is not a permanent solution, and we remain determined to end hotel usage entirely, as part of our objective to cut the costs of asylum accommodation.
 
A key element of this is clearing the asylum backlog. Compared to the last few months of the previous government, when asylum decision making collapsed by more than 70%, we have spent the last nine months doing the opposite, increasing asylum decision making by 52% in the last three months of 2024 alone.
 
Another key element of ending hotel use is increasing the removal of people who have no right to be in the UK, including failed asylum seekers. After coming to power, this Government reallocated significant additional resource into immigration enforcement and returns, and again, that has delivered significant results.

In our first nine months in office, this Government has ensured the removal of more than 24,000 failed asylum seekers, foreign criminals and other immigration offenders with no right to be in the UK, an 11 per cent increase on the same period a year earlier, and a higher nine-month total than any achieved under the previous government after 2017. Of these returns, 6,781 were asylum-related returns, an increase of almost a quarter compared to the same period twelve months prior.

We will continue working hard to clear the asylum backlog, and remove people with no right to be in the UK, and over time, that will help us to achieve our commitment to end the use of hotels. We cannot achieve that overnight, because the scale of the challenge we inherited was too large, but we are determined to deliver on our pledge, and ensure that these unacceptably high costs are brought to an end.

Home Office",Responded,2025-02-19T01:07:42.455Z
716157,Make the Tour de France a Category A event so it is free-to-air,Make the Tour de France a Category A event to ensure it remains free-to-air in the UK.,14570,"The Government recognises concerns raised about losing free-to-air coverage of the Tour de France. Ensuring live cycling can be enjoyed by a wide reaching audience is important to growing the sport and inspiring the next generation of cyclists. Professional cycling, in particular the Tour de France, captivates fans with its exciting races and inspires people across the country to get on their bikes every weekend.

That said, broadcasting rights also provide essential income for sporting National Governing Bodies (NGBs) and event organisers, including British Cycling, which enables them to invest in better facilities for participants and spectators, improve elite performance, hire the best coaches, and keep up with mounting competition. NGBs, including British Cycling, need to consider the trade-offs between visibility, access to live cycling events and maximising broadcasting revenue. It is important to get the balance right, and that balance is for each sport’s NGB to determine.

The Government will continue to encourage and support the growth of cycling and the rest of the sector into the future. As part of the Los Angeles 2028 Olympic and Paralympic cycle, UK Sport have committed long term investment of over £38 million of Exchequer and National Lottery Funding for British Cycling. This is an uplift of under £1 million from the previous cycle. This will go towards supporting all aspects of the Great Britain Cycling Team, including equipment development and competition costs across road, track, mountain bike and BMX. Sport England provides up to £26.6 million for five years to invest in community cycling initiatives. This funding allows British Cycling to invest in the next generation of talented riders and volunteers and extend their work in England’s diverse communities to get people active. 

On 12 February, the Government announced the details of almost £300 million of funding for local authorities for active travel in 2024/5 and 2025/6, to provide high-quality and easily accessible active travel schemes across England. This will enable an additional 30 million journeys on foot and by bike every year, including more than 20 million new walk-to-school journeys by children and their parents. Investment in active travel helps to revitalise high streets, improve air quality and support people to live longer, healthier lives. 

The Government is also committed to the positive impacts of hosting major cycling events. In March, the UK was announced as hosts for the Grand Depart stages for both the Tour de France and Tour de France Femmes in 2027. This is the first time, apart from in France, that the Grand Depart for both races will be hosted in the same country. The Tour will travel throughout England, Scotland and Wales, inspiring girls and boys as their sporting heroes cycle directly through their communities, with the races free to view in person.

All UK broadcasters are operationally and editorially independent of the Government. Therefore decisions relating to coverage of particular sporting events - including the Tour de France - are ultimately a commercial decision for the relevant broadcaster and/or the rights holder of the specific sporting event. 

The current listed events regime is designed to ensure that sporting events of national significance are available to as wide an audience as possible, by prohibiting exclusive broadcasting of the event without prior consent from Ofcom. The Broadcasting Act 1996 gives the Secretary of State for DCMS the power to draw up a list of sporting events of “national interest”:
●	Group A events: full live coverage must be offered to free-to-air terrestrial broadcasters on fair and reasonable terms.
●	Group B events: these can have live coverage on subscription television, provided that secondary coverage is offered to the free-to-air broadcasters. 

It is important to point out that listing the Tour de France as a ‘group A’ event would not guarantee that it will be broadcast live, or on a free-to-air channel. Rightsholders are not required to sell live rights for listed events and free-to-air broadcasters are not obliged to purchase them. 

The Government believes that the current list of events works well and that it strikes an appropriate balance between encouraging access to a number of sporting events and allowing sports to maximise broadcasting revenue. The Government has no plans to review the list at this time. However, developments continue to be monitored.

Department for Culture, Media and Sport",Responded,2025-01-30T14:05:32.129Z
716686,Recognise the production and serving of cask ale as Intangible Cultural Heritage,"Following the UK’s ratification of UNESCO's Convention for the Safeguarding of Intangible Cultural Heritage, we call on the Government to recognise production and serving of traditional British cask ale as Intangible Cultural Heritage.",22594,"As part of the implementation of the UNESCO 2003 Convention for the Safeguarding of the Intangible Cultural Heritage, the UK Government is working closely with the Devolved Governments to create inventories for each of the four nations in the UK; these will combine into one inventory of Living Heritage (or Intangible Cultural Heritage) in the UK. 

Following a public consultation (www.gov.uk/government/consultations/2003-unesco-convention-for-the-safeguarding-of-the-intangible-cultural-heritage) on the inventory process, we will open a call for submissions later this year for communities to submit items of living heritage.

The Government would welcome a submission from the cask ale community on the production and serving of traditional British cask ale. Subject to the submission meeting the criteria outlined in the consultation response, the item would be included.

Inclusion in the inventories of an item would provide recognition of the item's significance, contributing in part to the safeguarding of the item through greater awareness and understanding.  The Government will set out its approach to further supporting communities to safeguard their living heritage later this year.

Department for Culture, Media and Sport ",Responded,2025-02-04T10:06:57.412Z
